Country,Country Code,Series Name,Series Code,Year,FINI,CoHD_pov,CoHD,CoHD_headcount,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,id,goal3-achievementlevel,Code,Income_Group,Continent
Australia,AUS,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,12.7,0.21,2.33,2.9,4.77,2.332,3.794,6.7,0.04,8.700000000000001,83.001,10.16,99.4,94.0,AUS,95.64035714285713,AUS,High-income countries,OECD
Australia,AUS,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,3.6,0.21,2.33,2.9,4.77,2.332,3.794,6.7,0.04,8.700000000000001,83.001,10.16,99.4,94.0,AUS,95.64035714285713,AUS,High-income countries,OECD
Australia,AUS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,2.5,0.21,2.33,2.9,4.77,2.332,3.794,6.7,0.04,8.700000000000001,83.001,10.16,99.4,94.0,AUS,95.64035714285713,AUS,High-income countries,OECD
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,10.12281322,0.21,2.33,2.9,4.77,2.332,3.794,6.7,0.04,8.700000000000001,83.001,10.16,99.4,94.0,AUS,95.64035714285713,AUS,High-income countries,OECD
Australia,AUS,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,7.21305084,0.21,2.33,2.9,4.77,2.332,3.794,6.7,0.04,8.700000000000001,83.001,10.16,99.4,94.0,AUS,95.64035714285713,AUS,High-income countries,OECD
Australia,AUS,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,28.7446022,0.21,2.33,2.9,4.77,2.332,3.794,6.7,0.04,8.700000000000001,83.001,10.16,99.4,94.0,AUS,95.64035714285713,AUS,High-income countries,OECD
Austria,AUT,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,4.4,0.18,2.06,2.5,5.14,2.213,3.596,7.3,,10.82,81.639,6.8,98.4,94.0,AUT,94.19084615384615,AUT,High-income countries,OECD
Austria,AUT,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,1.1,0.18,2.06,2.5,5.14,2.213,3.596,7.3,,10.82,81.639,6.8,98.4,94.0,AUT,94.19084615384615,AUT,High-income countries,OECD
Austria,AUT,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,2.5,0.18,2.06,2.5,5.14,2.213,3.596,7.3,,10.82,81.639,6.8,98.4,94.0,AUT,94.19084615384615,AUT,High-income countries,OECD
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,10.38,0.18,2.06,2.5,5.14,2.213,3.596,7.3,,10.82,81.639,6.8,98.4,94.0,AUT,94.19084615384615,AUT,High-income countries,OECD
Austria,AUT,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,7.66,0.18,2.06,2.5,5.14,2.213,3.596,7.3,,10.82,81.639,6.8,98.4,94.0,AUT,94.19084615384615,AUT,High-income countries,OECD
Austria,AUT,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,26.19,0.18,2.06,2.5,5.14,2.213,3.596,7.3,,10.82,81.639,6.8,98.4,94.0,AUT,94.19084615384615,AUT,High-income countries,OECD
Azerbaijan,AZE,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,8.5,0.91,2.87,0.7,26.89,11.739,23.166,66.0,0.05,28.17,72.248,45.66,99.8,97.0,AZE,72.39200000000001,AZE,Upper-middle-income countries,E. Europe & C. Asia
Azerbaijan,AZE,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,0.0,0.91,2.87,0.7,26.89,11.739,23.166,66.0,0.05,28.17,72.248,45.66,99.8,97.0,AZE,72.39200000000001,AZE,Upper-middle-income countries,E. Europe & C. Asia
Azerbaijan,AZE,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,2.5,0.91,2.87,0.7,26.89,11.739,23.166,66.0,0.05,28.17,72.248,45.66,99.8,97.0,AZE,72.39200000000001,AZE,Upper-middle-income countries,E. Europe & C. Asia
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,4.07,0.91,2.87,0.7,26.89,11.739,23.166,66.0,0.05,28.17,72.248,45.66,99.8,97.0,AZE,72.39200000000001,AZE,Upper-middle-income countries,E. Europe & C. Asia
Azerbaijan,AZE,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,1.0,0.91,2.87,0.7,26.89,11.739,23.166,66.0,0.05,28.17,72.248,45.66,99.8,97.0,AZE,72.39200000000001,AZE,Upper-middle-income countries,E. Europe & C. Asia
Azerbaijan,AZE,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,74.73,0.91,2.87,0.7,26.89,11.739,23.166,66.0,0.05,28.17,72.248,45.66,99.8,97.0,AZE,72.39200000000001,AZE,Upper-middle-income countries,E. Europe & C. Asia
Bangladesh,BGD,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,31.5,1.49,3.03,65.0,183.4,21.847,35.134,221.0,0.01,18.81,71.788,82.73,67.8,97.0,BGD,59.32621428571427,BGD,Lower-middle-income countries,East & South Asia
Bangladesh,BGD,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,11.6,1.49,3.03,65.0,183.4,21.847,35.134,221.0,0.01,18.81,71.788,82.73,67.8,97.0,BGD,59.32621428571427,BGD,Lower-middle-income countries,East & South Asia
Bangladesh,BGD,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,13.6,1.49,3.03,65.0,183.4,21.847,35.134,221.0,0.01,18.81,71.788,82.73,67.8,97.0,BGD,59.32621428571427,BGD,Lower-middle-income countries,East & South Asia
Bangladesh,BGD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,2.36720181,1.49,3.03,65.0,183.4,21.847,35.134,221.0,0.01,18.81,71.788,82.73,67.8,97.0,BGD,59.32621428571427,BGD,Lower-middle-income countries,East & South Asia
Bangladesh,BGD,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,0.50250494,1.49,3.03,65.0,183.4,21.847,35.134,221.0,0.01,18.81,71.788,82.73,67.8,97.0,BGD,59.32621428571427,BGD,Lower-middle-income countries,East & South Asia
Bangladesh,BGD,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,72.72188568,1.49,3.03,65.0,183.4,21.847,35.134,221.0,0.01,18.81,71.788,82.73,67.8,97.0,BGD,59.32621428571427,BGD,Lower-middle-income countries,East & South Asia
Bosnia and Herzegovina,BIH,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,8.7,1.29,4.07,6.1,5.93,4.595,6.36,29.0,,18.66,76.935,9.81,99.9,69.0,BIH,75.48207692307693,BIH,Upper-middle-income countries,E. Europe & C. Asia
Bosnia and Herzegovina,BIH,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,1.3,1.29,4.07,6.1,5.93,4.595,6.36,29.0,,18.66,76.935,9.81,99.9,69.0,BIH,75.48207692307693,BIH,Upper-middle-income countries,E. Europe & C. Asia
Bosnia and Herzegovina,BIH,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,2.5,1.29,4.07,6.1,5.93,4.595,6.36,29.0,,18.66,76.935,9.81,99.9,69.0,BIH,75.48207692307693,BIH,Upper-middle-income countries,E. Europe & C. Asia
Bosnia and Herzegovina,BIH,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,8.82,1.29,4.07,6.1,5.93,4.595,6.36,29.0,,18.66,76.935,9.81,99.9,69.0,BIH,75.48207692307693,BIH,Upper-middle-income countries,E. Europe & C. Asia
Bosnia and Herzegovina,BIH,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,6.18,1.29,4.07,6.1,5.93,4.595,6.36,29.0,,18.66,76.935,9.81,99.9,69.0,BIH,75.48207692307693,BIH,Upper-middle-income countries,E. Europe & C. Asia
Bosnia and Herzegovina,BIH,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,29.49,1.29,4.07,6.1,5.93,4.595,6.36,29.0,,18.66,76.935,9.81,99.9,69.0,BIH,75.48207692307693,BIH,Upper-middle-income countries,E. Europe & C. Asia
Botswana,BWA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,53.4,0.99,3.13,63.5,107.6,22.198,44.299,300.0,4.14,28.52,66.753,50.0,99.8,97.0,BWA,50.96049999999999,BWA,Upper-middle-income countries,Sub-Saharan Africa
Botswana,BWA,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,22.8,0.99,3.13,63.5,107.6,22.198,44.299,300.0,4.14,28.52,66.753,50.0,99.8,97.0,BWA,50.96049999999999,BWA,Upper-middle-income countries,Sub-Saharan Africa
Botswana,BWA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,26.3,0.99,3.13,63.5,107.6,22.198,44.299,300.0,4.14,28.52,66.753,50.0,99.8,97.0,BWA,50.96049999999999,BWA,Upper-middle-income countries,Sub-Saharan Africa
Botswana,BWA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,6.62986994,0.99,3.13,63.5,107.6,22.198,44.299,300.0,4.14,28.52,66.753,50.0,99.8,97.0,BWA,50.96049999999999,BWA,Upper-middle-income countries,Sub-Saharan Africa
Botswana,BWA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,5.01613283,0.99,3.13,63.5,107.6,22.198,44.299,300.0,4.14,28.52,66.753,50.0,99.8,97.0,BWA,50.96049999999999,BWA,Upper-middle-income countries,Sub-Saharan Africa
Botswana,BWA,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,14.72867298,0.99,3.13,63.5,107.6,22.198,44.299,300.0,4.14,28.52,66.753,50.0,99.8,97.0,BWA,50.96049999999999,BWA,Upper-middle-income countries,Sub-Saharan Africa
Brazil,BRA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,21.8,1.02,3.22,27.4,59.7,9.139,15.306,44.0,0.24,15.85,74.827,55.35,98.7,87.0,BRA,79.44107142857142,BRA,Upper-middle-income countries,LAC
Brazil,BRA,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,1.7,1.02,3.22,27.4,59.7,9.139,15.306,44.0,0.24,15.85,74.827,55.35,98.7,87.0,BRA,79.44107142857142,BRA,Upper-middle-income countries,LAC
Brazil,BRA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,2.5,1.02,3.22,27.4,59.7,9.139,15.306,44.0,0.24,15.85,74.827,55.35,98.7,87.0,BRA,79.44107142857142,BRA,Upper-middle-income countries,LAC
Brazil,BRA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,9.47124863,1.02,3.22,27.4,59.7,9.139,15.306,44.0,0.24,15.85,74.827,55.35,98.7,87.0,BRA,79.44107142857142,BRA,Upper-middle-income countries,LAC
Brazil,BRA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,3.95314622,1.02,3.22,27.4,59.7,9.139,15.306,44.0,0.24,15.85,74.827,55.35,98.7,87.0,BRA,79.44107142857142,BRA,Upper-middle-income countries,LAC
Brazil,BRA,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,58.19537735,1.02,3.22,27.4,59.7,9.139,15.306,44.0,0.24,15.85,74.827,55.35,98.7,87.0,BRA,79.44107142857142,BRA,Upper-middle-income countries,LAC
Bulgaria,BGR,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,12.0,1.08,3.39,10.2,7.03,3.65,7.318000000000001,25.0,0.03,24.47,74.799,38.16,93.9,94.0,BGR,78.52728571428572,BGR,Upper-middle-income countries,E. Europe & C. Asia
Bulgaria,BGR,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,2.1,1.08,3.39,10.2,7.03,3.65,7.318000000000001,25.0,0.03,24.47,74.799,38.16,93.9,94.0,BGR,78.52728571428572,BGR,Upper-middle-income countries,E. Europe & C. Asia
Bulgaria,BGR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,3.1,1.08,3.39,10.2,7.03,3.65,7.318000000000001,25.0,0.03,24.47,74.799,38.16,93.9,94.0,BGR,78.52728571428572,BGR,Upper-middle-income countries,E. Europe & C. Asia
Bulgaria,BGR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,7.49,1.08,3.39,10.2,7.03,3.65,7.318000000000001,25.0,0.03,24.47,74.799,38.16,93.9,94.0,BGR,78.52728571428572,BGR,Upper-middle-income countries,E. Europe & C. Asia
Bulgaria,BGR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,4.12,1.08,3.39,10.2,7.03,3.65,7.318000000000001,25.0,0.03,24.47,74.799,38.16,93.9,94.0,BGR,78.52728571428572,BGR,Upper-middle-income countries,E. Europe & C. Asia
Bulgaria,BGR,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,45.06,1.08,3.39,10.2,7.03,3.65,7.318000000000001,25.0,0.03,24.47,74.799,38.16,93.9,94.0,BGR,78.52728571428572,BGR,Upper-middle-income countries,E. Europe & C. Asia
Burkina Faso,BFA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,42.9,1.98,2.67,64.9,283.1,27.051,93.571,49.0,0.16,24.39,59.536,113.4,95.8,88.0,BFA,44.57978571428571,BFA,Low-income countries,Sub-Saharan Africa
Burkina Faso,BFA,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,11.7,1.98,2.67,64.9,283.1,27.051,93.571,49.0,0.16,24.39,59.536,113.4,95.8,88.0,BFA,44.57978571428571,BFA,Low-income countries,Sub-Saharan Africa
Burkina Faso,BFA,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,13.7,1.98,2.67,64.9,283.1,27.051,93.571,49.0,0.16,24.39,59.536,113.4,95.8,88.0,BFA,44.57978571428571,BFA,Low-income countries,Sub-Saharan Africa
Burkina Faso,BFA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,6.02490044,1.98,2.67,64.9,283.1,27.051,93.571,49.0,0.16,24.39,59.536,113.4,95.8,88.0,BFA,44.57978571428571,BFA,Low-income countries,Sub-Saharan Africa
Burkina Faso,BFA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,2.60888934,1.98,2.67,64.9,283.1,27.051,93.571,49.0,0.16,24.39,59.536,113.4,95.8,88.0,BFA,44.57978571428571,BFA,Low-income countries,Sub-Saharan Africa
Burkina Faso,BFA,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,38.70117188,1.98,2.67,64.9,283.1,27.051,93.571,49.0,0.16,24.39,59.536,113.4,95.8,88.0,BFA,44.57978571428571,BFA,Low-income countries,Sub-Saharan Africa
Cameroon,CMR,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,58.0,1.26,2.58,52.4,443.0,28.982,82.706,194.0,0.8200000000000001,24.39,60.81,122.2,69.0,65.0,CMR,37.76914285714286,CMR,Lower-middle-income countries,Sub-Saharan Africa
Cameroon,CMR,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,28.2,1.26,2.58,52.4,443.0,28.982,82.706,194.0,0.8200000000000001,24.39,60.81,122.2,69.0,65.0,CMR,37.76914285714286,CMR,Lower-middle-income countries,Sub-Saharan Africa
Cameroon,CMR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,5.6,1.26,2.58,52.4,443.0,28.982,82.706,194.0,0.8200000000000001,24.39,60.81,122.2,69.0,65.0,CMR,37.76914285714286,CMR,Lower-middle-income countries,Sub-Saharan Africa
Cameroon,CMR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,3.39752436,1.26,2.58,52.4,443.0,28.982,82.706,194.0,0.8200000000000001,24.39,60.81,122.2,69.0,65.0,CMR,37.76914285714286,CMR,Lower-middle-income countries,Sub-Saharan Africa
Cameroon,CMR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,0.14120807,1.26,2.58,52.4,443.0,28.982,82.706,194.0,0.8200000000000001,24.39,60.81,122.2,69.0,65.0,CMR,37.76914285714286,CMR,Lower-middle-income countries,Sub-Saharan Africa
Cameroon,CMR,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,86.35810089,1.26,2.58,52.4,443.0,28.982,82.706,194.0,0.8200000000000001,24.39,60.81,122.2,69.0,65.0,CMR,37.76914285714286,CMR,Lower-middle-income countries,Sub-Saharan Africa
Canada,CAN,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,5.0,0.28,3.08,3.2,12.58,3.468,5.252,5.7,0.05,10.07,82.019,7.68,97.9,90.0,CAN,94.84649999999999,CAN,High-income countries,OECD
Canada,CAN,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,0.6,0.28,3.08,3.2,12.58,3.468,5.252,5.7,0.05,10.07,82.019,7.68,97.9,90.0,CAN,94.84649999999999,CAN,High-income countries,OECD
Canada,CAN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,2.5,0.28,3.08,3.2,12.58,3.468,5.252,5.7,0.05,10.07,82.019,7.68,97.9,90.0,CAN,94.84649999999999,CAN,High-income countries,OECD
Canada,CAN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,10.90631104,0.28,3.08,3.2,12.58,3.468,5.252,5.7,0.05,10.07,82.019,7.68,97.9,90.0,CAN,94.84649999999999,CAN,High-income countries,OECD
Canada,CAN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,7.59250259,0.28,3.08,3.2,12.58,3.468,5.252,5.7,0.05,10.07,82.019,7.68,97.9,90.0,CAN,94.84649999999999,CAN,High-income countries,OECD
Canada,CAN,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,30.38431358,0.28,3.08,3.2,12.58,3.468,5.252,5.7,0.05,10.07,82.019,7.68,97.9,90.0,CAN,94.84649999999999,CAN,High-income countries,OECD
Chile,CHL,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,13.7,0.3,3.38,48.1,14.74,4.961,7.612,17.0,0.24,10.62,80.35000000000001,26.89,99.8,93.0,CHL,88.0752142857143,CHL,High-income countries,OECD
Chile,CHL,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,3.4,0.3,3.38,48.1,14.74,4.961,7.612,17.0,0.24,10.62,80.35000000000001,26.89,99.8,93.0,CHL,88.0752142857143,CHL,High-income countries,OECD
Chile,CHL,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,3.0,0.3,3.38,48.1,14.74,4.961,7.612,17.0,0.24,10.62,80.35000000000001,26.89,99.8,93.0,CHL,88.0752142857143,CHL,High-income countries,OECD
Chile,CHL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,9.090518,0.3,3.38,48.1,14.74,4.961,7.612,17.0,0.24,10.62,80.35000000000001,26.89,99.8,93.0,CHL,88.0752142857143,CHL,High-income countries,OECD
Chile,CHL,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,4.58157396,0.3,3.38,48.1,14.74,4.961,7.612,17.0,0.24,10.62,80.35000000000001,26.89,99.8,93.0,CHL,88.0752142857143,CHL,High-income countries,OECD
Chile,CHL,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,49.60051346,0.3,3.38,48.1,14.74,4.961,7.612,17.0,0.24,10.62,80.35000000000001,26.89,99.8,93.0,CHL,88.0752142857143,CHL,High-income countries,OECD
Costa Rica,CRI,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,13.7,1.12,3.54,14.3,18.72,5.98,8.637,9.6,0.16,10.18,79.377,46.68,98.7,96.0,CRI,88.34178571428572,CRI,Upper-middle-income countries,OECD
Costa Rica,CRI,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,2.2,1.12,3.54,14.3,18.72,5.98,8.637,9.6,0.16,10.18,79.377,46.68,98.7,96.0,CRI,88.34178571428572,CRI,Upper-middle-income countries,OECD
Costa Rica,CRI,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,3.2,1.12,3.54,14.3,18.72,5.98,8.637,9.6,0.16,10.18,79.377,46.68,98.7,96.0,CRI,88.34178571428572,CRI,Upper-middle-income countries,OECD
Costa Rica,CRI,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,7.04522991,1.12,3.54,14.3,18.72,5.98,8.637,9.6,0.16,10.18,79.377,46.68,98.7,96.0,CRI,88.34178571428572,CRI,Upper-middle-income countries,OECD
Costa Rica,CRI,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,5.1788969,1.12,3.54,14.3,18.72,5.98,8.637,9.6,0.16,10.18,79.377,46.68,98.7,96.0,CRI,88.34178571428572,CRI,Upper-middle-income countries,OECD
Costa Rica,CRI,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,26.43719864,1.12,3.54,14.3,18.72,5.98,8.637,9.6,0.16,10.18,79.377,46.68,98.7,96.0,CRI,88.34178571428572,CRI,Upper-middle-income countries,OECD
Cote d'Ivoire,CIV,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,37.0,1.2,2.46,53.5,512.4,31.339,81.468,148.0,0.55,22.33,58.48,98.46000000000001,84.0,70.0,CIV,42.3555,CIV,Lower-middle-income countries,Sub-Saharan Africa
Cote d'Ivoire,CIV,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,2017,8.4,1.2,2.46,53.5,512.4,31.339,81.468,148.0,0.55,22.33,58.48,98.46000000000001,84.0,70.0,CIV,42.3555,CIV,Lower-middle-income countries,Sub-Saharan Africa
Cote d'Ivoire,CIV,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,2017,9.8,1.2,2.46,53.5,512.4,31.339,81.468,148.0,0.55,22.33,58.48,98.46000000000001,84.0,70.0,CIV,42.3555,CIV,Lower-middle-income countries,Sub-Saharan Africa
Cote d'Ivoire,CIV,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,3.24693036,1.2,2.46,53.5,512.4,31.339,81.468,148.0,0.55,22.33,58.48,98.46000000000001,84.0,70.0,CIV,42.3555,CIV,Lower-middle-income countries,Sub-Saharan Africa
Cote d'Ivoire,CIV,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2017,0.93267012,1.2,2.46,53.5,512.4,31.339,81.468,148.0,0.55,22.33,58.48,98.46000000000001,84.0,70.0,CIV,42.3555,CIV,Lower-middle-income countries,Sub-Saharan Africa
Cote d'Ivoire,CIV,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,2017,58.24119949,1.2,2.46,53.5,512.4,31.339,81.468,148.0,0.55,22.33,58.48,98.46000000000001,84.0,70.0,CIV,42.3555,CIV,Lower-middle-income countries,Sub-Saharan Africa
Croatia,HRV,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,2017,7.8,0.3,3.31,27.9,5.36,2.943,4.811,10.0,0.02,16.85,78.083,9.26,99.9,89.0,HRV,85.90071428571427,HRV,High-income countries,E. Europe & C. Asia
